opponent,venue,proba_win,proba_draw,proba_loss,score_raw,injury_penalty,ppm_diff,h2h_bonus,rivalry_penalty,ol_gf,ol_ga,opp_gf,opp_ga,ol_ppm,opp_ppm,engine_explanation
Lens,Home,18.1,18.1,63.7,-0.31,2.63,0.14,0.0,0.0,1.75,0.75,1.67,1.0,2.25,2.11,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Lens,Away,13.9,13.9,72.2,-0.41,2.63,-1.29,0.0,0.0,1.22,1.22,2.0,0.5,1.33,2.62,Absences importantes dans l’effectif (facteur dominant). Forme récente défavorable par rapport à l’adversaire. Match à l’extérieur. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Paris Saint Germain,Home,19.4,19.4,61.3,-0.29,2.63,0.36,0.0,0.0,1.75,0.75,2.0,1.22,2.25,1.89,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Paris Saint Germain,Away,14.5,14.5,71.0,-0.4,2.63,-1.42,0.0,0.0,1.22,1.22,2.38,0.5,1.33,2.75,Absences importantes dans l’effectif (facteur dominant). Forme récente défavorable par rapport à l’adversaire. Match à l’extérieur. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Marseille,Home,21.9,21.9,56.3,-0.24,2.63,0.75,0.0,0.0,1.75,0.75,1.5,0.88,2.25,1.5,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Marseille,Away,16.9,16.9,66.2,-0.34,2.63,-0.89,0.0,0.0,1.22,1.22,2.67,1.11,1.33,2.22,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
Lille,Home,22.4,22.4,55.2,-0.23,2.63,0.63,0.0,0.0,1.75,0.75,2.12,1.75,2.25,1.62,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Lille,Away,17.8,17.8,64.5,-0.32,2.63,-0.78,0.0,0.0,1.22,1.22,1.78,0.89,1.33,2.11,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
Rennes,Home,24.5,24.5,50.9,-0.18,2.63,0.81,0.0,0.0,1.75,0.75,1.22,1.78,2.25,1.44,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Rennes,Away,19.5,19.5,61.1,-0.29,2.63,-0.79,0.0,0.0,1.22,1.22,2.25,1.0,1.33,2.12,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
Strasbourg,Home,27.2,27.2,45.5,-0.13,2.63,1.36,0.0,0.0,1.75,0.75,1.33,1.89,2.25,0.89,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Strasbourg,Away,21.4,21.4,57.2,-0.25,2.63,-0.67,0.0,0.0,1.22,1.22,1.75,0.5,1.33,2.0,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
Toulouse,Home,27.3,27.3,45.3,-0.13,2.63,0.87,0.0,0.0,1.75,0.75,1.25,1.0,2.25,1.38,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Les absences sont pondérées comme facteur principal dans ce contexte.
Toulouse,Away,23.4,23.4,53.2,-0.21,2.63,0.0,0.0,0.0,1.22,1.22,1.56,1.56,1.33,1.33,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Les absences sont pondérées comme facteur principal dans ce contexte.
Monaco,Home,28.9,28.9,42.2,-0.09,2.63,1.37,0.0,0.0,1.75,0.75,1.25,1.88,2.25,0.88,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Les absences sont pondérées comme facteur principal dans ce contexte.
Monaco,Away,23.4,23.4,53.2,-0.21,2.63,-0.45,0.0,0.0,1.22,1.22,1.89,1.67,1.33,1.78,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Les absences sont pondérées comme facteur principal dans ce contexte.
Angers,Home,29.8,29.8,40.4,-0.08,2.63,1.36,0.0,0.0,1.75,0.75,0.67,1.44,2.25,0.89,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Angers,Away,24.4,24.4,51.3,-0.19,2.63,-0.42,0.0,0.0,1.22,1.22,1.5,0.88,1.33,1.75,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Brest,Home,30.5,30.5,39.0,-0.06,2.63,1.37,0.0,0.0,1.75,0.75,1.12,2.0,2.25,0.88,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Brest,Away,25.3,25.3,49.5,-0.17,2.63,-0.34,0.0,0.0,1.22,1.22,1.56,1.22,1.33,1.67,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Lorient,Home,32.4,32.4,35.1,-0.02,2.63,1.87,0.0,0.0,1.75,0.75,0.25,1.75,2.25,0.38,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Lorient,Away,26.3,26.3,47.4,-0.15,2.63,-0.45,0.0,0.0,1.22,1.22,2.0,1.67,1.33,1.78,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Le Havre,Home,32.9,32.9,34.2,-0.01,2.63,1.63,0.0,0.0,1.75,0.75,0.5,1.75,2.25,0.62,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Le Havre,Away,27.8,27.8,44.4,-0.12,2.63,-0.11,0.0,0.0,1.22,1.22,1.22,1.0,1.33,1.44,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Nice,Home,34.2,32.9,32.9,0.01,2.63,1.75,0.0,0.0,1.75,0.75,1.0,2.25,2.25,0.5,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Nice,Away,28.3,28.3,43.3,-0.11,2.63,-0.23,0.0,0.0,1.22,1.22,1.33,1.33,1.33,1.56,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Paris FC,Home,35.0,32.5,32.5,0.02,2.63,1.36,0.0,0.0,1.75,0.75,1.11,1.78,2.25,0.89,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Paris FC,Away,30.3,30.3,39.4,-0.07,2.63,0.33,0.0,0.0,1.22,1.22,1.5,1.88,1.33,1.0,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Nantes,Home,35.3,32.3,32.3,0.02,2.63,1.25,0.0,0.0,1.75,0.75,0.89,1.44,2.25,1.0,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Nantes,Away,31.2,31.2,37.5,-0.05,2.63,0.71,0.0,0.0,1.22,1.22,1.0,1.88,1.33,0.62,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Auxerre,Home,38.3,30.9,30.9,0.05,2.63,2.0,0.0,0.0,1.75,0.75,0.5,2.0,2.25,0.25,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Auxerre,Away,30.8,30.8,38.5,-0.06,2.63,0.22,0.0,0.0,1.22,1.22,1.11,1.22,1.33,1.11,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Metz,Home,37.7,31.2,31.2,0.05,2.63,1.81,0.0,0.0,1.75,0.75,1.22,3.11,2.25,0.44,Absences importantes dans l’effectif (facteur dominant). Forme récente nettement favorable à l’OL. Match à domicile au Groupama Stadium. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Metz,Away,30.9,30.9,38.1,-0.05,2.63,0.33,0.0,0.0,1.22,1.22,0.88,1.25,1.33,1.0,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Classement global et contextuel nettement à l’avantage de l’OL. Adversaire en difficulté contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
